"","ID1","ID2","MHCAll_perc_similar","MHCI_perc_similar","MHCII_perc_similar","KINSHIP","MHCall_common","MHCall_unique","MHCI_common","MHCI_unique","MHCII_common","MHCII_unique","Supertypeall_common","Supertypesall_unique","SupertypeAB_common","SupertypesAB_unique","SupertypeII_common","SupertypesII_unique"
"93","17","2",0.129,0.2667,0,-0.127603,4,31,4,15,0,16,8,15,5,6,3,9
"94","17","3",0.0909,0.1579,0,-0.076239,3,33,3,19,0,14,9,18,5,9,4,9
"95","17","4",0,0,0,-0.0664996,0,35,0,20,0,15,7,18,2,11,5,7
"96","17","5",0.0556,0.0909,0,-0.0662193,2,36,2,22,0,14,7,17,3,10,4,7
"97","17","6",0.1212,0.2105,0,-0.0648893,4,33,4,19,0,14,7,18,5,10,2,8
"98","17","7",0.2,0.15,0.3,-0.0534421,6,30,3,20,3,10,8,17,4,10,4,7
"99","17","8",0.125,0.1667,0.0714,0.0113127,4,32,3,18,1,14,6,16,3,9,3,7
"100","17","9",0.0294,0.0455,0,-0.184845,1,34,1,22,0,12,5,19,4,11,1,8
"101","18","1",0.3704,0.375,0.3636,-0.063603,10,27,6,16,4,11,11,16,7,9,4,7
"102","18","10",0.2414,0.2222,0.2727,0.128322,7,29,4,18,3,11,8,16,4,9,4,7
"103","18","11",0.0294,0.05,0,-0.0791029,1,34,1,20,0,14,8,19,4,11,4,8
"104","18","12",0.1613,0.1765,0.1429,-0.0599164,5,31,3,17,2,14,8,16,5,9,3,7
"105","18","13",0.0714,0.1053,0,0.0748331,2,28,2,19,0,9,6,17,5,11,1,6
"106","18","14",0.3214,0.3529,0.2727,-0.00358228,9,28,6,17,3,11,8,15,5,9,3,6
"107","18","15",0.0588,0.0952,0,-0.0606479,2,34,2,21,0,13,9,19,6,11,3,8
"108","18","16",0.2414,0.2222,0.2727,-0.0862137,7,29,4,18,3,11,6,18,4,10,2,8
"109","18","17",0.3103,0.2778,0.3636,0.0639827,9,29,5,18,4,11,9,16,4,9,5,7
"110","18","2",0,0,0,-0.141544,0,35,0,20,0,15,7,17,4,10,3,7
"111","18","3",0.0588,0.0952,0,-0.0964101,2,34,2,21,0,13,9,19,6,11,3,8
"112","18","4",0.129,0.1053,0.1667,-0.0786888,4,31,2,19,2,12,9,17,5,11,4,6
